merge_mode,frame,island_mbs,island_vs_edited_max,island_vs_edited_mean,island_mbs_differing,island_mbs_visible,skip_vs_orig_max,skip_mbs_differing,skip_vs_orig_mean,skip_mbs_visible,nongadget_vs_orig_max,nongadget_mbs_differing,nongadget_vs_orig_mean,nongadget_mbs_visible,gadget_vs_edited_max,gadget_mean_luma
control_all_from_f14,19,3600,0,0.0000,0,0,0,0,0.0000,0,33,3560,1.7495,261,0,NaN
control_all_from_f14,20,3600,0,0.0000,0,0,0,0,0.0000,0,38,3570,1.8101,258,0,NaN
control_all_from_f14,21,3600,0,0.0000,0,0,0,0,0.0000,0,28,3580,1.9670,310,0,NaN
control_all_from_f14,22,3600,0,0.0000,0,0,0,0,0.0000,0,32,3592,2.0950,324,0,NaN
control_all_from_f14,23,3600,0,0.0000,0,0,0,0,0.0000,0,28,3594,2.0826,226,0,NaN
control_all_from_f14,24,3600,0,0.0000,0,0,0,0,0.0000,0,26,3597,2.2531,417,0,NaN
control_all_from_f14,25,3600,0,0.0000,0,0,0,0,0.0000,0,30,3598,2.2456,388,0,NaN
control_all_from_f14,26,3600,0,0.0000,0,0,0,0,0.0000,0,28,3598,2.2119,291,0,NaN
control_all_from_f14,27,3600,0,0.0000,0,0,0,0,0.0000,0,24,3599,2.2859,377,0,NaN
control_all_from_f14,28,3600,0,0.0000,0,0,0,0,0.0000,0,25,3599,2.3669,468,0,NaN
control_all_from_f14,29,3600,0,0.0000,0,0,0,0,0.0000,0,27,3600,2.3841,441,0,NaN
geometric_halo0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo0,1,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo0,2,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo0,3,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo0,4,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo0,5,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo0,6,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo0,7,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo0,8,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo0,9,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo0,10,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo0,11,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo0,12,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo0,13,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo0,14,920,11,0.0016,35,0,135,1106,2.6522,756,135,1106,2.6522,756,11,2.44
geometric_halo0,15,920,8,0.0024,46,0,157,1092,3.2608,778,157,1092,3.2608,778,8,2.44
geometric_halo0,16,0,0,0.0000,0,0,248,1989,26.8506,1606,248,1989,26.8506,1606,0,NaN
geometric_halo0,17,0,0,0.0000,0,0,255,1998,26.8880,1631,255,1998,26.8880,1631,0,NaN
geometric_halo0,18,0,0,0.0000,0,0,238,2014,26.6812,1660,238,2014,26.6812,1660,0,NaN
geometric_halo0,19,0,0,0.0000,0,0,238,2014,26.6122,1667,238,2014,26.6122,1667,0,NaN
geometric_halo0,20,0,0,0.0000,0,0,237,2019,26.6247,1668,237,2019,26.6247,1668,0,NaN
geometric_halo0,21,0,0,0.0000,0,0,238,2022,26.4651,1684,238,2022,26.4651,1684,0,NaN
geometric_halo0,22,0,0,0.0000,0,0,239,2025,26.2917,1663,239,2025,26.2917,1663,0,NaN
geometric_halo0,23,0,0,0.0000,0,0,234,2024,26.2704,1667,234,2024,26.2704,1667,0,NaN
geometric_halo0,24,0,0,0.0000,0,0,232,2026,26.2041,1663,232,2026,26.2041,1663,0,NaN
geometric_halo0,25,0,0,0.0000,0,0,241,2027,26.1916,1666,241,2027,26.1916,1666,0,NaN
geometric_halo0,26,0,0,0.0000,0,0,232,2028,26.2339,1673,232,2028,26.2339,1673,0,NaN
